epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,468.472,0.33644,0.24622,0.8689,0.99801,0.99483,0.995,0.95922,0.33502,0.21517,0.68697,0.000643547,0.000643547,0.000643547
87,474.093,0.33804,0.248,0.87168,0.99242,0.99894,0.995,0.95918,0.31471,0.17788,0.67889,0.000638047,0.000638047,0.000638047
88,479.638,0.34791,0.25683,0.86934,0.99238,0.99921,0.995,0.96325,0.31731,0.18373,0.67858,0.000632548,0.000632548,0.000632548
89,484.997,0.33209,0.24597,0.86363,0.99227,1,0.995,0.96589,0.31124,0.17703,0.67473,0.000627048,0.000627048,0.000627048
90,490.489,0.3284,0.23299,0.8552,0.99064,1,0.995,0.96021,0.31056,0.19583,0.67806,0.000621549,0.000621549,0.000621549
91,495.951,0.33029,0.25447,0.87187,0.99742,0.99085,0.995,0.96293,0.30506,0.18386,0.67766,0.000616049,0.000616049,0.000616049
92,501.471,0.33573,0.26638,0.8677,0.9929,0.9988,0.995,0.96088,0.29851,0.18339,0.67414,0.00061055,0.00061055,0.00061055
93,506.875,0.33978,0.23891,0.86528,0.99424,0.9987,0.995,0.96479,0.30496,0.17981,0.67569,0.000605051,0.000605051,0.000605051
94,512.273,0.33648,0.24223,0.86675,0.9982,0.99035,0.995,0.96738,0.30808,0.1871,0.67375,0.000599551,0.000599551,0.000599551
95,517.789,0.34766,0.24644,0.87205,0.99788,0.99043,0.995,0.9634,0.2965,0.18105,0.67445,0.000594052,0.000594052,0.000594052
96,523.25,0.33376,0.23998,0.87023,0.99182,0.9906,0.995,0.96614,0.30375,0.1848,0.67713,0.000588552,0.000588552,0.000588552
97,528.605,0.34386,0.30605,0.88304,0.99728,0.991,0.995,0.96378,0.31832,0.18739,0.68352,0.000583053,0.000583053,0.000583053
98,534.134,0.34676,0.38909,0.89397,0.99113,1,0.995,0.97051,0.30381,0.1786,0.66995,0.000577553,0.000577553,0.000577553
99,539.583,0.35712,0.31951,0.88252,0.98977,0.99964,0.995,0.9727,0.29694,0.18309,0.67038,0.000572054,0.000572054,0.000572054
100,545.006,0.32948,0.26964,0.87699,0.99531,0.99865,0.995,0.96633,0.30747,0.17933,0.6784,0.000566554,0.000566554,0.000566554
101,550.492,0.31372,0.23079,0.85688,0.99763,0.99485,0.995,0.96891,0.31356,0.19486,0.67984,0.000561055,0.000561055,0.000561055
102,555.95,0.32277,0.25269,0.8592,0.99658,0.99511,0.995,0.96624,0.30407,0.17282,0.67462,0.000555556,0.000555556,0.000555556
103,561.436,0.32807,0.23511,0.869,0.9962,0.99595,0.995,0.96915,0.30283,0.17079,0.67315,0.000550056,0.000550056,0.000550056
104,566.728,0.32129,0.22726,0.85653,0.99185,1,0.995,0.9652,0.30306,0.17577,0.67358,0.000544557,0.000544557,0.000544557
105,572.178,0.33015,0.24931,0.86804,0.99525,1,0.995,0.97308,0.30277,0.17739,0.67686,0.000539057,0.000539057,0.000539057
106,577.415,0.32736,0.23784,0.85788,0.99634,1,0.995,0.96915,0.30867,0.18696,0.67679,0.000533558,0.000533558,0.000533558
107,582.934,0.33769,0.24038,0.86105,0.99436,1,0.995,0.97001,0.30613,0.16885,0.67172,0.000528058,0.000528058,0.000528058
108,588.198,0.32357,0.243,0.87057,0.99606,0.99536,0.995,0.9626,0.31288,0.17492,0.676,0.000522559,0.000522559,0.000522559
109,593.63,0.31375,0.22411,0.85996,0.99751,0.99429,0.99489,0.96368,0.30091,0.17283,0.67026,0.000517059,0.000517059,0.000517059
110,598.999,0.31335,0.21928,0.8586,0.99628,0.99472,0.995,0.96385,0.30726,0.1817,0.67213,0.00051156,0.00051156,0.00051156
111,604.423,0.31859,0.2331,0.85718,0.9928,0.99937,0.995,0.96421,0.30289,0.1745,0.67783,0.00050606,0.00050606,0.00050606
112,609.939,0.3166,0.22274,0.86333,0.99505,0.99188,0.995,0.96634,0.29612,0.17476,0.67032,0.000500561,0.000500561,0.000500561
113,615.302,0.32024,0.23732,0.85978,0.99572,1,0.995,0.95975,0.31022,0.17434,0.67491,0.000495062,0.000495062,0.000495062
114,620.869,0.32266,0.24376,0.85998,0.99106,0.99971,0.995,0.96453,0.30583,0.17422,0.67625,0.000489562,0.000489562,0.000489562
115,626.559,0.32609,0.23055,0.86718,0.98995,0.99874,0.995,0.96494,0.29638,0.1769,0.67103,0.000484063,0.000484063,0.000484063
116,631.971,0.32307,0.22975,0.87095,0.99015,1,0.995,0.96622,0.29674,0.17322,0.67217,0.000478563,0.000478563,0.000478563
117,637.248,0.31772,0.22909,0.86153,0.99193,1,0.995,0.96664,0.30255,0.18322,0.6746,0.000473064,0.000473064,0.000473064
118,642.588,0.30896,0.2208,0.85973,0.99458,0.99898,0.995,0.9699,0.29389,0.17078,0.66782,0.000467564,0.000467564,0.000467564
119,647.96,0.31137,0.2185,0.84849,0.99466,0.99988,0.995,0.97307,0.29346,0.17723,0.66704,0.000462065,0.000462065,0.000462065
120,653.271,0.31196,0.22191,0.86855,0.99377,1,0.995,0.96856,0.3003,0.17338,0.67165,0.000456565,0.000456565,0.000456565
121,658.608,0.33013,0.21964,0.86659,0.99322,1,0.995,0.96989,0.29069,0.17066,0.67119,0.000451066,0.000451066,0.000451066
122,663.97,0.30714,0.21506,0.85579,0.99082,1,0.995,0.95725,0.3051,0.17872,0.67596,0.000445567,0.000445567,0.000445567
123,669.314,0.31515,0.2295,0.86748,0.98995,0.9989,0.995,0.96315,0.29763,0.17125,0.67061,0.000440067,0.000440067,0.000440067
124,674.531,0.31171,0.21748,0.86299,0.98789,0.99864,0.995,0.96984,0.29374,0.16091,0.66788,0.000434568,0.000434568,0.000434568
125,679.721,0.30475,0.2133,0.85595,0.99222,1,0.995,0.96835,0.28977,0.1594,0.66722,0.000429068,0.000429068,0.000429068
126,685.115,0.3224,0.21506,0.87652,0.99653,0.99996,0.995,0.96995,0.29801,0.17438,0.66857,0.000423569,0.000423569,0.000423569
127,690.437,0.30678,0.21444,0.86938,0.99738,1,0.995,0.96993,0.29075,0.16714,0.6631,0.000418069,0.000418069,0.000418069
128,695.735,0.30409,0.22212,0.85332,0.99766,1,0.995,0.96577,0.29656,0.17286,0.66991,0.00041257,0.00041257,0.00041257
129,700.942,0.31332,0.24151,0.87399,0.99608,1,0.995,0.9685,0.30363,0.17555,0.6756,0.00040707,0.00040707,0.00040707
130,706.32,0.31186,0.22504,0.86333,0.99419,1,0.995,0.95636,0.31779,0.19005,0.68645,0.000401571,0.000401571,0.000401571
131,711.68,0.29019,0.46576,0.82859,0.99258,1,0.995,0.96681,0.29453,0.1705,0.67236,0.000396071,0.000396071,0.000396071
132,716.907,0.30147,0.21919,0.86064,0.99548,1,0.995,0.97228,0.30647,0.16931,0.67499,0.000390572,0.000390572,0.000390572
133,722.196,0.30785,0.24368,0.85925,0.99165,1,0.995,0.9731,0.29748,0.16959,0.67211,0.000385073,0.000385073,0.000385073
134,727.522,0.30248,0.21707,0.86005,0.99828,0.98932,0.995,0.97109,0.28575,0.16336,0.67063,0.000379573,0.000379573,0.000379573
