stamp_ns,ns,class_id,score,meas_u,meas_v,proj_u,proj_v,reproj_px,cam_x,cam_y,cam_z,world_x,world_y,world_z,disp_med,mad,consistency
80724000000,drone1,4,0.903695,306,333,306,333,0,-1.4,9.3,38.1362,42.8555,9.17342,0.253937,0.800305,0.389266,OK_right
80760000000,drone1,4,0.902254,306,333,306,333,0,-1.24444,8.26667,33.8989,38.7661,8.11717,1.33274,0.853659,0.393983,OK_right
80860000000,drone1,3,0.922081,532,73,532,73,0,5.38413,-4.24127,9.6854,13.7613,-4.53478,2.06216,3.9375,0.25,MISMATCH_expected_left
80896000000,drone1,4,0.910293,307,333,307,333,0,-1.04,7.44,30.509,35.4898,7.27305,2.13482,0.980357,0.361597,OK_right
80924000000,drone1,3,0.925179,537,63,537,63,0,5.51111,-4.49524,9.6854,13.7349,-4.78876,1.9406,3.9375,0.1875,MISMATCH_expected_left
80924000000,drone1,4,0.913185,307,333,307,333,0,-1.3,9.3,38.1362,42.8554,9.17482,0.160803,0.889423,0.281103,OK_right
80996000000,drone1,3,0.923971,536,73,536,73,0,5.4,-4.175,9.53406,13.6281,-4.46883,2.08995,4,0.1875,MISMATCH_expected_left
81124000000,drone1,4,0.911502,307,334,307,334,0,-1.6,11.5692,46.9369,51.3698,11.4937,-2.12372,0.827206,0.339313,OK_right
81264000000,drone1,4,0.906049,307,333,307,333,0,-0.990476,7.08571,29.0562,34.1284,6.91358,2.50336,0.903409,0.550716,OK_right
81300000000,drone1,3,0.93075,539,59,539,59,0,26.9538,-22.2769,46.9369,43.2636,-22.415,-29.42,1.01326,0.484797,MISMATCH_expected_left
81332000000,drone1,3,0.930186,526,77,526,77,0,5.49333,-4.34667,10.1697,14.2478,-4.63385,1.81454,3.75,0.4375,MISMATCH_expected_left
81436000000,drone1,3,0.927706,523,59,523,59,0,21.6533,-19.3067,40.6787,38.8263,-19.4644,-22.5217,0.9375,0.6875,MISMATCH_expected_left
81472000000,drone1,4,0.905046,307,334,307,334,0,-1.15556,8.35555,33.8989,38.828,8.21286,1.25736,0.805743,0.438533,OK_right
81508000000,drone1,4,0.901891,307,334,307,334,0,-1.04,7.52,30.509,35.5591,7.3589,2.1323,0.765203,0.397258,OK_right
81612000000,drone1,3,0.926992,509,59,509,59,0,18.9,-18.1,38.1362,37.2034,-18.2641,-19.1519,1,0.375,MISMATCH_expected_left
81644000000,drone1,3,0.927772,523,59,523,59,0,20.3,-18.1,38.1362,36.8038,-18.2667,-20.4864,1,0.3125,MISMATCH_expected_left
81684000000,drone1,3,0.929738,522,59,522,59,0,21.5467,-19.3067,40.6787,38.8885,-19.462,-22.4139,0.9375,0.25,MISMATCH_expected_left
81712000000,drone1,3,0.927287,511,60,511,60,0,19.1,-18,38.1362,37.1659,-18.1626,-19.3337,1,0.3125,MISMATCH_expected_left
81748000000,drone1,3,0.929897,526,60,526,60,0,25.3538,-22.1538,46.9369,43.7922,-22.2823,-27.8774,0.8125,0.25,MISMATCH_expected_left
81784000000,drone1,3,0.930789,526,60,526,60,0,20.6,-18,38.1362,36.7359,-18.1643,-20.7711,1,0.5,MISMATCH_expected_left
81848000000,drone1,3,0.93014,526,59,526,59,0,21.9733,-19.3067,40.6787,38.698,-19.4661,-22.9055,0.9375,0.5625,MISMATCH_expected_left
81880000000,drone1,3,0.929853,511,59,511,59,0,20.3733,-19.3067,40.6787,39.1197,-19.4658,-21.4287,0.9375,0.625,MISMATCH_expected_left
