stamp_sec,method,IDF1,IDSW,Frag,MOTA,MedErr,RMSE,P95,FP,FN,GT,frame_GT,frame_pred,frame_matches,fresh,nonempty,pred_age_sec,pred_frame,min_gt_to_pred,mean_gt_to_pred,p95_gt_to_pred
532.9,sort,1,0,0,0.2,13.07696397,13.07833791,13.10286268,0,20,25,5,1,1,1,1,0.08,world,13.10422283,21.66636761,25.54092355
532.984,ours,1,0,0,0.2,1.884705286,1.919338523,2.098127093,0,168,210,5,1,1,1,1,0.032,world,2.117702117,14.03083044,19.35014557
532.984,ab3dmot,1,0,0,0.2,1.890797122,1.919293553,2.093852895,0,172,215,5,1,1,1,1,0.064,world,2.111865213,14.03702126,19.36389317
532.984,sort,1,0,0,0.2,13.08719301,13.08604638,13.11944632,0,24,30,5,1,1,1,1,0.096,world,13.12452082,21.67871576,25.54948271
533.068,ours,1,0,0,0.2,1.888442312,1.924432333,2.102725862,0,172,215,5,1,1,1,1,0.052,world,2.127387185,14.03685005,19.35546523
533.068,ab3dmot,1,0,0,0.2,1.89115864,1.924123504,2.096635069,0,176,220,5,1,1,1,1,0.084,world,2.121434049,14.04324683,19.36972184
533.068,sort,1,0,0,0.2,13.09742205,13.09347112,13.13390825,0,28,35,5,1,1,1,1,0.116,world,13.13793143,21.68673506,25.55489386
533.144,ours,1,0,0,0.2,1.891951967,1.929500731,2.115518733,0,176,220,5,1,1,1,1,0.044,world,2.136095376,14.04364185,19.36163944
533.144,ab3dmot,1,0,0,0.2,1.891520158,1.928963839,2.108860273,0,180,225,5,1,1,1,1,0.092,world,2.131082304,14.04920672,19.37470698
533.144,sort,1,0,0,0.2,13.10082244,13.10070279,13.14656458,0,32,40,5,1,1,1,1,0.092,world,13.15121319,21.69456568,25.56005728
533.208,ours,1,0,0,0.2,1.895461621,1.934546783,2.125450171,0,180,225,5,1,1,1,1,0.02,world,2.144852305,14.0501433,19.36656938
533.208,ab3dmot,1,0,0,0.2,1.897806044,1.933796739,2.11904184,0,184,230,5,1,1,1,1,0.056,world,2.140010494,14.055511,19.37901324
533.208,sort,1,0,0,0.2,13.10422283,13.10778877,13.15908886,0,36,45,5,1,1,1,1,0.092,world,13.1643393,21.70219232,25.56496357
533.3,ours,1,0,0,0.2,1.898217122,1.93961929,2.133918328,0,184,230,5,1,1,1,1,0.028,world,2.155562819,14.05458829,19.36852809
533.3,ab3dmot,1,0,0,0.2,1.904091929,1.938646065,2.128187828,0,188,235,5,1,1,1,1,0.052,world,2.149923358,14.06046014,19.37970429
533.3,sort,1,0,0,0.2,13.11437183,13.1147548,13.17145854,0,40,50,5,1,1,1,1,0.116,world,13.17728337,21.70960018,25.56960391
533.38,ours,1,0,0,0.2,1.900972623,1.944824007,2.142225226,0,188,235,5,1,1,1,1,0.028,world,2.170792946,14.06161239,19.37189779
533.38,ab3dmot,1,0,0,0.2,1.909285823,1.943664612,2.136885628,0,192,240,5,1,1,1,1,0.064,world,2.166462409,14.06604185,19.37937142
533.38,sort,1,0,0,0.2,13.12452082,13.12218909,13.1867925,0,44,55,5,1,1,1,1,0.096,world,13.19630163,21.72027065,25.576048
533.48,ours,1,0,0,0.2,1.904768872,1.950023602,2.151814139,0,192,240,5,1,1,1,1,0.056,world,2.180462955,14.06623783,19.37227246
533.48,ab3dmot,1,0,0,0.2,1.914479717,1.94868943,2.145958212,0,196,245,5,1,1,1,1,0.1,world,2.176279446,14.07063733,19.38039066
533.48,sort,1,0,0,0.2,13.13122613,13.1294183,13.20187121,0,48,60,5,1,1,1,1,0.132,world,13.20867847,21.72707027,25.57998899
533.556,ours,1,0,0,0.2,1.908565122,1.955301506,2.164700895,0,196,245,5,1,1,1,1,0.056,world,2.193758596,14.07406709,19.37596869
533.556,ab3dmot,1,0,0,0.2,1.919628844,1.953821796,2.159019836,0,200,250,5,1,1,1,1,0.112,world,2.190626922,14.0774423,19.38268242
533.556,sort,1,0,0,0.2,13.13793143,13.13692937,13.2158989,0,52,65,5,1,1,1,1,0.112,world,13.22672955,21.73676657,25.58535151
533.616,ours,1,0,0,0.2,1.910953357,1.960422218,2.176111451,0,200,250,5,1,1,1,1,0.016,world,2.196763214,14.07791054,19.3775653
533.616,ab3dmot,1,0,0,0.2,1.924777972,1.958814892,2.171370928,0,204,255,5,1,1,1,1,0.068,world,2.194029238,14.08083817,19.38298382
533.616,sort,1,0,0,0.2,13.14457231,13.14378591,13.22878337,0,56,70,5,1,1,1,1,0.104,world,13.23259761,21.73985843,25.58698972
533.7,ours,1,0,0,0.2,1.913341593,1.965617909,2.187110776,0,204,255,5,1,1,1,1,0.02,world,2.209881973,14.08501346,19.38153838
533.7,ab3dmot,1,0,0,0.2,1.927947467,1.963864804,2.18273581,0,208,260,5,1,1,1,1,0.056,world,2.20613544,14.08904136,19.38811182
533.7,sort,1,0,0,0.2,13.15121319,13.15087438,13.23773276,0,60,75,5,1,1,1,1,0.12,world,13.24971477,21.74869334,25.59144768
533.784,ours,1,0,0,0.2,1.919019841,1.970765226,2.195110674,0,208,260,5,1,1,1,1,0.024,world,2.217491382,14.09045791,19.38565729
533.784,ab3dmot,1,0,0,0.2,1.931116961,1.968887098,2.191987848,0,212,265,5,1,1,1,1,0.072,world,2.214405352,14.09382472,19.391601
533.784,sort,1,0,0,0.2,13.15777625,13.15776489,13.25245928,0,64,80,5,1,1,1,1,0.14,world,13.2606928,21.75420276,25.59403383
533.896,ours,1,0,0,0.2,1.924698089,1.975971876,2.202010718,0,212,265,5,1,1,1,1,0.044,world,2.230028511,14.09656792,19.38954044
533.896,ab3dmot,1,0,0,0.2,1.932698728,1.973979158,2.198266409,0,216,270,5,1,1,1,1,0.088,world,2.227260912,14.09962288,19.39502392
533.896,sort,1,0,0,0.2,13.1643393,13.16477639,13.26384564,0,68,85,5,1,1,1,1,0.152,world,13.27645697,21.76187152,25.59732575
533.964,ours,1,0,0,0.2,1.929628289,1.981125397,2.212545266,0,216,270,5,1,1,1,1,0.048,world,2.237339061,14.10114048,19.39261903
533.964,ab3dmot,1,0,0,0.2,1.934280495,1.979044152,2.208616414,0,220,275,5,1,1,1,1,0.088,world,2.235577313,14.10310819,19.39648508
533.964,sort,1,0,0,0.2,13.17081133,13.17156657,13.27795871,0,72,90,5,1,1,1,1,0.12,world,13.2864686,21.76657408,25.59912515
534.048,ours,1,0,0,0.2,1.934558488,1.986237051,2.221252521,0,220,275,5,1,1,1,1,0.044,world,2.245049196,14.10472016,19.39338571
534.048,ab3dmot,1,0,0,0.2,1.939185461,1.984091289,2.217619242,0,224,280,5,1,1,1,1,0.104,world,2.244271599,14.10559901,19.39561567
534.048,sort,1,0,0,0.2,13.17728337,13.17814817,13.28742772,0,76,95,5,1,1,1,1,0.104,world,13.29605981,21.77093926,25.60060638
534.12,ours,1,0,0,0.2,1.944073686,1.991331635,2.231856149,0,224,280,5,1,1,1,1,0.02,world,2.253868895,14.10649211,19.39129685
534.12,ab3dmot,1,0,0,0.2,1.944090426,1.989147288,2.228924192,0,228,285,5,1,1,1,1,0.08,world,2.254256804,14.10605923,19.39118556
534.12,sort,1,0,0,0.2,13.1867925,13.18453047,13.29651746,0,80,100,5,1,1,1,1,0.112,world,13.30521268,21.77495982,25.60176855
534.2,ours,1,0,0,0.2,1.953588884,1.996388558,2.238881088,0,228,285,5,1,1,1,1,0.028,world,2.261601322,14.10887303,19.39149836
534.2,ab3dmot,1,0,0,0.2,1.953889808,1.994198075,2.236881456,0,232,290,5,1,1,1,1,0.06,world,2.263539362,14.10669379,19.38767419
534.2,sort,1,0,0,0.2,13.19630163,13.19072019,13.30521268,0,84,105,5,1,1,1,1,0.092,world,13.31391028,21.77862933,25.60261148
534.28,ours,1,0,0,0.2,1.960849837,2.001477519,2.246372151,0,232,290,5,1,1,1,1,0.028,world,2.272790437,14.1116987,19.39092747
534.28,ab3dmot,1,0,0,0.2,1.96368919,1.999277307,2.24527012,0,236,295,5,1,1,1,1,0.076,world,2.274548212,14.10970885,19.3879581
534.364,ours,1,0,0,0.2,1.968110791,2.006515898,2.254642138,0,236,295,5,1,1,1,1,0.06,world,2.279768804,14.11328938,19.39018021
534.364,ab3dmot,1,0,0,0.2,1.969774246,2.004318912,2.254720932,0,240,300,5,1,1,1,1,0.092,world,2.282144337,14.11059094,19.38632465
534.444,ours,1,0,0,0.2,1.97469608,2.011520396,2.262160778,0,240,300,5,1,1,1,1,0.044,world,2.28748799,14.11334157,19.38689633
534.444,ab3dmot,1,0,0,0.2,1.975859303,2.009328532,2.263539362,0,244,305,5,1,1,1,1,0.104,world,2.28993712,14.11055411,19.38324715
534.504,ours,1,0,0,0.2,1.98128137,2.016482971,2.272790437,0,244,305,5,1,1,1,1,0.004,world,2.29468073,14.1132763,19.38369458
534.504,ab3dmot,1,0,0,0.2,1.981907988,2.014323651,2.27399777,0,248,310,5,1,1,1,1,0.068,world,2.298589965,14.10883363,19.37686263
534.6,ours,1,0,0,0.2,1.989709771,2.021396163,2.279419886,0,248,310,5,1,1,1,1,0.032,world,2.301350442,14.1130809,19.38025868
534.6,ab3dmot,1,0,0,0.2,1.987956673,2.019297898,2.281384724,0,252,315,5,1,1,1,1,0.064,world,2.306847644,14.10686264,19.36876776
534.6,sort,0.9545454545,1,0,0.1909090909,13.1867925,13.17084632,13.30475504,0,88,110,5,1,1,1,1,0.128,world,12.74633905,20.54741227,23.91249935
534.668,ours,1,0,0,0.2,1.998138172,2.026256614,2.286716071,0,252,315,5,1,1,1,1,0.032,world,2.30769752,14.1125265,19.37587893
534.668,ab3dmot,1,0,0,0.2,1.995546501,2.024198733,2.288768202,0,256,320,5,1,1,1,1,0.1,world,2.312103098,14.10753444,19.36687169
534.668,sort,0.9130434783,1,0,0.1913043478,13.17728337,13.15289663,13.3042974,0,92,115,5,1,1,1,1,0.1,world,12.75161246,20.5486092,23.91124749
534.76,ours,1,0,0,0.2,2.0041293,2.031097175,2.293601819,0,256,320,5,1,1,1,1,0.052,world,2.315743384,14.11199807,19.36982174
534.76,ab3dmot,1,0,0,0.2,2.003136328,2.029066007,2.296859396,0,260,325,5,1,1,1,1,0.124,world,2.319423037,14.10780659,19.36267115
534.76,sort,0.875,1,0,0.1916666667,13.17081133,13.13669942,13.30383975,0,96,120,5,1,1,1,1,0.124,world,12.75848953,20.54969677,23.90879949
534.832,ours,1,0,0,0.2,2.010120428,2.035866315,2.3000165,0,260,325,5,1,1,1,1,0.032,world,2.320795237,14.111135,19.36404372
534.832,ab3dmot,1,0,0,0.2,2.007794847,2.033857457,2.304783224,0,264,330,5,1,1,1,1,0.096,world,2.324209596,14.10727438,19.35691284
534.832,sort,0.84,1,0,0.192,13.1643393,13.12176408,13.30338211,0,100,125,5,1,1,1,1,0.096,world,12.75807169,20.5407924,23.89414546
534.912,ours,1,0,0,0.2,2.015864457,2.040542746,2.30611075,0,264,330,5,1,1,1,1,0.036,world,2.32441662,14.11104174,19.36166009
534.912,ab3dmot,1,0,0,0.2,2.012453367,2.038595087,2.310526461,0,268,335,5,1,1,1,1,0.08,world,2.330077025,14.10484228,19.34787895
534.912,sort,0.8076923077,1,0,0.1923076923,13.15777625,13.10808196,13.30292447,0,104,130,5,1,1,1,1,0.112,world,12.76126239,20.54039827,23.89147504
534.992,ours,1,0,0,0.2,2.021608486,2.04516114,2.313329625,0,268,335,5,1,1,1,1,0.032,world,2.329820534,14.10832488,19.35278161
534.992,ab3dmot,1,0,0,0.2,2.018068744,2.043256533,2.316861058,0,272,340,5,1,1,1,1,0.092,world,2.334465393,14.10326318,19.34178903
534.992,sort,0.7777777778,1,0,0.1925925926,13.15121319,13.09549489,13.30246682,0,108,135,5,1,1,1,1,0.124,world,12.76387509,20.5396149,23.88849887
535.064,ours,1,0,0,0.2,2.030173139,2.049696503,2.319027089,0,272,340,5,1,1,1,1,0.032,world,2.333571807,14.10664534,19.34717915
535.064,ab3dmot,1,0,0,0.2,2.023684122,2.047834143,2.322294972,0,276,345,5,1,1,1,1,0.1,world,2.338180672,14.10165461,19.33632158
535.064,sort,0.75,1,0,0.1928571429,13.14457231,13.08386741,13.30200918,0,112,140,5,1,1,1,1,0.132,world,12.76592273,20.53847971,23.88527196
535.144,ours,1,0,0,0.2,2.038737791,2.054143397,2.322968067,0,276,345,5,1,1,1,1,0.044,world,2.33676279,14.10539207,19.34219014
535.144,ab3dmot,1,0,0,0.2,2.032238377,2.052294588,2.327436682,0,280,350,5,1,1,1,1,0.112,world,2.339618086,14.10227365,19.33569878
535.144,sort,0.724137931,1,0,0.1931034483,13.13793143,13.07309938,13.30155153,0,116,145,5,1,1,1,1,0.112,world,12.76790795,20.53607738,23.87991228
535.204,ours,1,0,0,0.2,2.044517807,2.058465724,2.327388773,0,280,350,5,1,1,1,1,0.008,world,2.337483269,14.10502707,19.3403852
535.204,ab3dmot,1,0,0,0.2,2.040792632,2.056620501,2.332271209,0,284,355,5,1,1,1,1,0.076,world,2.339641914,14.10272924,19.33515532
535.204,sort,0.7,1,0,0.1933333333,13.13122613,13.0630493,13.30109389,0,120,150,5,1,1,1,1,0.076,world,12.76815638,20.53482979,23.87762879
535.3,ours,1,0,0,0.2,2.050297822,2.062675363,2.33169617,0,284,355,5,1,1,1,1,0.036,world,2.338594816,14.10378091,19.33667432
535.3,ab3dmot,1,0,0,0.2,2.046565628,2.060834651,2.336137269,0,288,360,5,1,1,1,1,0.072,world,2.340726658,14.1014455,19.33193592
535.3,sort,0.6774193548,1,0,0.1935483871,13.12452082,13.05365084,13.30063625,0,124,155,5,1,1,1,1,0.104,world,12.76848046,20.53149678,23.87170815
535.388,ours,1,0,0,0.2,2.054653257,2.066759504,2.335007749,0,288,360,5,1,1,1,1,0.036,world,2.338573018,14.10276507,19.33489182
