stamp_sec,method,N,MedErr,RMSE,P95,MeanLogDet
537.3,ci,208,3.21847,3.3793,4.37357,-6.19072
537.3,ftci,208,3.22944,3.41507,4.40669,-6.301
537.376,ci,210,3.21847,3.37856,4.37336,-6.19331
537.376,ftci,210,3.22944,3.41395,4.40624,-6.30256
537.44,ci,212,3.21847,3.37781,4.37315,-6.1958
537.44,ftci,212,3.22944,3.41281,4.40579,-6.30398
537.504,ci,214,3.21847,3.37699,4.37294,-6.19831
537.504,ftci,214,3.22764,3.41161,4.40535,-6.30549
537.596,ci,216,3.21847,3.37607,4.37273,-6.20071
537.596,ftci,216,3.2212,3.41031,4.4049,-6.3069
537.672,ci,218,3.21107,3.37502,4.37252,-6.20305
537.672,ftci,218,3.21034,3.4089,4.40445,-6.30828
537.756,ci,220,3.20638,3.37391,4.37231,-6.20539
537.756,ftci,220,3.20847,3.40747,4.404,-6.30967
537.804,ci,222,3.20378,3.37278,4.37209,-6.20761
537.804,ftci,222,3.20615,3.40602,4.40374,-6.31091
537.896,ci,224,3.20038,3.3716,4.37185,-6.20985
537.896,ftci,224,3.20245,3.40453,4.40365,-6.31226
537.964,ci,226,3.19706,3.37038,4.37161,-6.21202
537.964,ftci,226,3.19892,3.403,4.40357,-6.31351
538.036,ci,228,3.19706,3.3692,4.37138,-6.21423
538.036,ftci,228,3.19892,3.4015,4.40348,-6.31484
538.152,ci,230,3.19706,3.36801,4.37114,-6.21631
538.152,ftci,230,3.19892,3.39998,4.4034,-6.31602
538.232,ci,232,3.19706,3.36687,4.3709,-6.21833
538.232,ftci,232,3.19892,3.3985,4.40332,-6.31717
538.268,ci,234,3.19706,3.36578,4.37066,-6.22033
538.268,ftci,234,3.19892,3.39705,4.40323,-6.31831
538.332,ci,236,3.19706,3.36472,4.37043,-6.22234
538.332,ftci,236,3.19892,3.3956,4.40315,-6.31951
538.364,ci,238,3.19706,3.36368,4.37019,-6.22431
538.364,ftci,238,3.19892,3.39419,4.40306,-6.32065
538.396,ci,240,3.19706,3.36267,4.36995,-6.22629
538.396,ftci,240,3.19892,3.3928,4.40298,-6.32185
538.448,ci,242,3.19706,3.3617,4.36982,-6.22818
538.448,ftci,242,3.19892,3.39144,4.40286,-6.3229
538.496,ci,244,3.19706,3.36071,4.36981,-6.23002
538.496,ftci,244,3.19892,3.39006,4.4027,-6.32396
538.508,ci,246,3.19706,3.35975,4.36979,-6.23193
538.508,ftci,246,3.19892,3.3887,4.40254,-6.32514
538.564,ci,248,3.19706,3.35877,4.36978,-6.23386
538.564,ftci,248,3.19892,3.38734,4.40238,-6.32633
538.6,ci,250,3.19706,3.35778,4.36976,-6.23566
538.6,ftci,250,3.19892,3.38598,4.40222,-6.32735
538.656,ci,252,3.19706,3.3568,4.36974,-6.23747
538.656,ftci,252,3.19892,3.38461,4.40206,-6.32844
538.696,ci,254,3.19706,3.3558,4.36973,-6.23918
538.696,ftci,254,3.19892,3.38324,4.4019,-6.32944
538.724,ci,256,3.19706,3.35478,4.36971,-6.24084
538.724,ftci,256,3.19892,3.38185,4.40174,-6.33039
538.792,ci,258,3.19706,3.35374,4.36969,-6.24248
538.792,ftci,258,3.19892,3.38043,4.40159,-6.33138
538.812,ci,260,3.19706,3.35263,4.36968,-6.24406
538.812,ftci,260,3.19804,3.37899,4.40143,-6.33225
538.872,ci,262,3.19706,3.35151,4.36939,-6.24564
538.872,ftci,262,3.19538,3.37754,4.40128,-6.33317
538.9,ci,264,3.19706,3.35037,4.36883,-6.24727
538.9,ftci,264,3.19305,3.37608,4.40116,-6.33415
538.96,ci,266,3.19706,3.34921,4.36827,-6.24895
538.96,ftci,266,3.19205,3.37461,4.40104,-6.3352
539,ci,268,3.19706,3.34805,4.36771,-6.2506
539,ftci,268,3.19205,3.37317,4.40091,-6.33606
539.056,ci,270,3.19706,3.34695,4.36715,-6.25217
539.056,ftci,270,3.19205,3.37176,4.40079,-6.33701
539.092,ci,272,3.19706,3.34587,4.3666,-6.25361
539.092,ftci,272,3.19205,3.37037,4.40066,-6.33779
539.156,ci,274,3.19706,3.34481,4.36604,-6.25509
539.156,ftci,274,3.19205,3.36901,4.40054,-6.33868
539.188,ci,276,3.19706,3.34378,4.36548,-6.25659
539.188,ftci,276,3.19205,3.36768,4.40041,-6.33958
539.22,ci,278,3.19706,3.34278,4.36492,-6.25798
539.22,ftci,278,3.19205,3.36637,4.40029,-6.34034
539.288,ci,280,3.19706,3.34178,4.36436,-6.25937
539.288,ftci,280,3.19205,3.36506,4.40016,-6.34114
