stamp_ns,node_ns,src_drone_ns,fused_id,class_id,class_name,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
532848000000,/,drone2,0,3,"container4",world,27.8608,4.72143,0,0.0877239,0,0,0,0.0877239,0,0,0,0.20239
532848000000,/,drone1,1,4,"container5",world,30.7718,-2.64388,0,0.0877048,0,0,0,0.0877048,0,0,0,0.202322
532900000000,/,drone2,0,3,"container4",world,27.8586,4.72284,0,0.0880679,0,0,0,0.0880679,0,0,0,0.202948
532900000000,/,drone1,1,4,"container5",world,30.7752,-2.65144,0,0.0880524,0,0,0,0.0880524,0,0,0,0.202932
532984000000,/,drone2,0,3,"container4",world,27.8556,4.72304,0,0.0881597,0,0,0,0.0881597,0,0,0,0.203078
532984000000,/,drone1,1,4,"container5",world,30.7811,-2.65823,0,0.0881423,0,0,0,0.0881423,0,0,0,0.203085
533068000000,/,drone2,0,3,"container4",world,27.8544,4.72272,0,0.0879831,0,0,0,0.0879831,0,0,0,0.202753
533068000000,/,drone1,1,4,"container5",world,30.7859,-2.66727,0,0.087961,0,0,0,0.087961,0,0,0,0.202768
533148000000,/,drone2,0,3,"container4",world,27.848,4.72189,0,0.088088,0,0,0,0.088088,0,0,0,0.202926
533148000000,/,drone1,1,4,"container5",world,30.7889,-2.67204,0,0.0880653,0,0,0,0.0880653,0,0,0,0.202941
533212000000,/,drone2,0,3,"container4",world,27.8387,4.72114,0,0.0878818,0,0,0,0.0878818,0,0,0,0.202559
533212000000,/,drone1,1,4,"container5",world,30.7904,-2.67689,0,0.088207,0,0,0,0.088207,0,0,0,0.203192
533300000000,/,drone2,0,3,"container4",world,27.8378,4.72183,0,0.0896335,0,0,0,0.0896335,0,0,0,0.205945
533300000000,/,drone1,1,4,"container5",world,30.7881,-2.6977,0,0.0898734,0,0,0,0.0898734,0,0,0,0.20636
533384000000,/,drone2,0,3,"container4",world,27.8379,4.71075,0,0.0893676,0,0,0,0.0893676,0,0,0,0.205635
533384000000,/,drone1,1,4,"container5",world,30.7894,-2.70812,0,0.0895572,0,0,0,0.0895572,0,0,0,0.205955
533480000000,/,drone2,0,3,"container4",world,27.8441,4.69159,0,0.0890583,0,0,0,0.0890583,0,0,0,0.205222
533480000000,/,drone1,1,4,"container5",world,30.7904,-2.71883,0,0.089198,0,0,0,0.089198,0,0,0,0.205461
533560000000,/,drone2,0,3,"container4",world,27.8521,4.67478,0,0.0888184,0,0,0,0.0888184,0,0,0,0.204823
533560000000,/,drone1,1,4,"container5",world,30.7919,-2.72916,0,0.0889239,0,0,0,0.0889239,0,0,0,0.205007
533620000000,/,drone2,0,3,"container4",world,27.8629,4.66112,0,0.0883796,0,0,0,0.0883796,0,0,0,0.204047
533620000000,/,drone1,1,4,"container5",world,30.7929,-2.74012,0,0.0887933,0,0,0,0.0887933,0,0,0,0.204777
533700000000,/,drone2,0,3,"container4",world,27.8746,4.64961,0,0.0884831,0,0,0,0.0884831,0,0,0,0.20422
533700000000,/,drone1,1,4,"container5",world,30.7935,-2.74914,0,0.0885047,0,0,0,0.0885047,0,0,0,0.204261
533788000000,/,drone2,0,3,"container4",world,27.8894,4.63646,0,0.0884261,0,0,0,0.0884261,0,0,0,0.204075
533788000000,/,drone1,1,4,"container5",world,30.797,-2.75494,0,0.0884571,0,0,0,0.0884571,0,0,0,0.204131
533896000000,/,drone2,0,3,"container4",world,27.9013,4.62507,0,0.0881259,0,0,0,0.0881259,0,0,0,0.203484
533896000000,/,drone1,1,4,"container5",world,30.8005,-2.76037,0,0.0881488,0,0,0,0.0881488,0,0,0,0.203523
533976000000,/,drone2,0,3,"container4",world,27.9013,4.62507,0,0.0881259,0,0,0,0.0881259,0,0,0,0.203484
533976000000,/,drone1,1,4,"container5",world,30.8005,-2.76037,0,0.0881488,0,0,0,0.0881488,0,0,0,0.203523
534048000000,/,drone2,0,3,"container4",world,27.932,4.60361,0,0.088392,0,0,0,0.088392,0,0,0,0.203762
534048000000,/,drone1,1,4,"container5",world,30.8107,-2.77097,0,0.0883984,0,0,0,0.0883984,0,0,0,0.203765
534120000000,/,drone2,0,3,"container4",world,27.9467,4.59628,0,0.0880442,0,0,0,0.0880442,0,0,0,0.203097
534120000000,/,drone1,1,4,"container5",world,30.8116,-2.77542,0,0.0879383,0,0,0,0.0879383,0,0,0,0.202895
534200000000,/,drone2,0,3,"container4",world,27.9578,4.58952,0,0.0881766,0,0,0,0.0881766,0,0,0,0.203286
534200000000,/,drone1,1,4,"container5",world,30.8135,-2.7783,0,0.0882818,0,0,0,0.0882818,0,0,0,0.203454
534280000000,/,drone2,0,3,"container4",world,27.9637,4.58371,0,0.087961,0,0,0,0.087961,0,0,0,0.202868
534280000000,/,drone1,1,4,"container5",world,30.8149,-2.78042,0,0.0879867,0,0,0,0.0879867,0,0,0,0.202898
534364000000,/,drone2,0,3,"container4",world,27.9695,4.57618,0,0.0879544,0,0,0,0.0879544,0,0,0,0.2028
534364000000,/,drone1,1,4,"container5",world,30.8168,-2.78142,0,0.0879596,0,0,0,0.0879596,0,0,0,0.202794
534444000000,/,drone2,0,3,"container4",world,27.9696,4.57469,0,0.0877199,0,0,0,0.0877199,0,0,0,0.202369
534444000000,/,drone1,1,4,"container5",world,30.8153,-2.7814,0,0.0880698,0,0,0,0.0880698,0,0,0,0.202975
534504000000,/,drone2,0,3,"container4",world,27.9857,4.56791,0,0.0878685,0,0,0,0.0878685,0,0,0,0.202594
534504000000,/,drone1,1,4,"container5",world,30.8149,-2.78535,0,0.0892801,0,0,0,0.0892801,0,0,0,0.205402
534600000000,/,drone2,0,3,"container4",world,27.9921,4.56451,0,0.0880915,0,0,0,0.0880915,0,0,0,0.202971
534600000000,/,drone1,1,4,"container5",world,30.8144,-2.78543,0,0.0895791,0,0,0,0.0895791,0,0,0,0.206022
534672000000,/,drone2,0,3,"container4",world,27.9985,4.5624,0,0.0879443,0,0,0,0.0879443,0,0,0,0.202706
534672000000,/,drone1,1,4,"container5",world,30.8149,-2.78622,0,0.0890906,0,0,0,0.0890906,0,0,0,0.205253
534760000000,/,drone2,0,3,"container4",world,28.0009,4.55971,0,0.0881345,0,0,0,0.0881345,0,0,0,0.203015
534760000000,/,drone1,1,4,"container5",world,30.8137,-2.78857,0,0.0889191,0,0,0,0.0889191,0,0,0,0.204957
534832000000,/,drone2,0,3,"container4",world,28.0015,4.55786,0,0.087835,0,0,0,0.087835,0,0,0,0.202475
534832000000,/,drone1,1,4,"container5",world,30.8114,-2.7915,0,0.0887336,0,0,0,0.0887336,0,0,0,0.204609
534912000000,/,drone2,0,3,"container4",world,28.0027,4.55827,0,0.0879619,0,0,0,0.0879619,0,0,0,0.202712
534912000000,/,drone1,1,4,"container5",world,30.8115,-2.7939,0,0.0885633,0,0,0,0.0885633,0,0,0,0.204289
534996000000,/,drone2,0,3,"container4",world,28.0023,4.5573,0,0.0881177,0,0,0,0.0881177,0,0,0,0.202989
534996000000,/,drone1,1,4,"container5",world,30.8087,-2.79677,0,0.0884406,0,0,0,0.0884406,0,0,0,0.204025
535064000000,/,drone2,0,3,"container4",world,28.0036,4.55821,0,0.0879513,0,0,0,0.0879513,0,0,0,0.202708
535064000000,/,drone1,1,4,"container5",world,30.809,-2.79945,0,0.0881267,0,0,0,0.0881267,0,0,0,0.20341
535148000000,/,drone2,0,3,"container4",world,28.0051,4.56134,0,0.0881388,0,0,0,0.0881388,0,0,0,0.203045
535148000000,/,drone1,1,4,"container5",world,30.8093,-2.80264,0,0.0882411,0,0,0,0.0882411,0,0,0,0.203556
535204000000,/,drone2,0,3,"container4",world,28.0076,4.55934,0,0.0880058,0,0,0,0.0880058,0,0,0,0.202814
535204000000,/,drone1,1,4,"container5",world,30.8127,-2.80493,0,0.0878296,0,0,0,0.0878296,0,0,0,0.202748
535300000000,/,drone2,0,3,"container4",world,28.0026,4.5607,0,0.0881354,0,0,0,0.0881354,0,0,0,0.203024
535300000000,/,drone1,1,4,"container5",world,30.8139,-2.8077,0,0.0879831,0,0,0,0.0879831,0,0,0,0.202947
535388000000,/,drone2,0,3,"container4",world,27.9997,4.56049,0,0.0881709,0,0,0,0.0881709,0,0,0,0.203082
535388000000,/,drone1,1,4,"container5",world,30.8156,-2.8085,0,0.0877884,0,0,0,0.0877884,0,0,0,0.202548
535460000000,/,drone2,0,3,"container4",world,27.9975,4.56028,0,0.0879736,0,0,0,0.0879736,0,0,0,0.202745
535460000000,/,drone1,1,4,"container5",world,30.8162,-2.80816,0,0.0878783,0,0,0,0.0878783,0,0,0,0.202667
535532000000,/,drone2,0,3,"container4",world,27.9973,4.56012,0,0.0881518,0,0,0,0.0881518,0,0,0,0.203066
535532000000,/,drone1,1,4,"container5",world,30.8158,-2.80777,0,0.0881286,0,0,0,0.0881286,0,0,0,0.203082
535600000000,/,drone2,0,3,"container4",world,27.996,4.55867,0,0.0878428,0,0,0,0.0878428,0,0,0,0.202521
