stamp,ns,class,score,u,v,world_x,world_y,world_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z
623.736000,drone3,-1,0.941847,164.802719,479.830704,4.205285,-4.913271,0.000000,container1,7.327887,-5.269846,-2.042899,-3.122602,0.356575,2.042899,3.748497,-2.364649,-0.164883,-0.404540
623.736000,drone3,-1,0.931103,535.387817,65.281998,15.132343,-14.536668,0.000000,container5,16.840806,-15.269588,-2.060342,-1.708463,0.732920,2.060342,2.775072,-2.364649,-0.164883,-0.404540
623.768000,drone3,-1,0.941954,164.668335,479.536781,4.213399,-4.910122,0.000000,container1,7.327386,-5.269939,-2.040325,-3.113987,0.359817,2.040325,3.740229,-2.364723,-0.164878,-0.399862
623.768000,drone3,-1,0.931919,535.274536,65.608688,15.123884,-14.533903,0.000000,container5,16.840283,-15.269674,-2.059903,-1.716399,0.735771,2.059903,2.780393,-2.364723,-0.164878,-0.399862
623.836000,drone3,-1,0.941784,164.627640,479.448723,4.215607,-4.909838,0.000000,container1,7.326890,-5.270031,-2.037602,-3.111282,0.360193,2.037602,3.736528,-2.364285,-0.164839,-0.396761
623.836000,drone3,-1,0.935908,535.437683,66.308678,15.105175,-14.538817,0.000000,container5,16.839762,-15.269758,-2.059308,-1.734587,0.730942,2.059308,2.789950,-2.364285,-0.164839,-0.396761
623.900000,drone3,-1,0.941637,164.688446,479.480469,4.215125,-4.912378,0.000000,container1,7.325907,-5.270212,-2.031718,-3.110782,0.357834,2.031718,3.732678,-2.364133,-0.164817,-0.391137
623.900000,drone3,-1,0.933861,535.409851,66.552818,15.099361,-14.539298,0.000000,container5,16.838724,-15.269926,-2.057652,-1.739363,0.730628,2.057652,2.791619,-2.364133,-0.164817,-0.391137
623.932000,drone3,-1,0.942009,164.629166,479.464645,4.215766,-4.911324,0.000000,container1,7.325421,-5.270301,-2.028560,-3.109656,0.358977,2.028560,3.730131,-2.364011,-0.164808,-0.387483
623.932000,drone3,-1,0.932816,535.402893,66.242165,15.107948,-14.539752,0.000000,container5,16.838208,-15.270009,-2.056592,-1.730260,0.730257,2.056592,2.785075,-2.364011,-0.164808,-0.387483
624.000000,drone3,-1,0.942218,164.803131,479.445168,4.216595,-4.916131,0.000000,container1,7.324462,-5.270477,-2.021818,-3.107867,0.354346,2.021818,3.724533,-2.363572,-0.164776,-0.383188
624.000000,drone3,-1,0.933383,535.473450,65.823944,15.119722,-14.542239,0.000000,container5,16.837183,-15.270172,-2.054009,-1.717461,0.727933,2.054009,2.774619,-2.363572,-0.164776,-0.383188
624.032000,drone3,-1,0.942115,164.822998,479.424171,4.217239,-4.916608,0.000000,container1,7.323989,-5.270563,-2.018239,-3.106750,0.353955,2.018239,3.721622,-2.363705,-0.164779,-0.377171
624.032000,drone3,-1,0.932508,535.498840,65.448608,15.129905,-14.543022,0.000000,container5,16.836673,-15.270253,-2.052488,-1.706768,0.727231,2.052488,2.766700,-2.363705,-0.164779,-0.377171
624.100000,drone3,-1,0.942277,164.802719,479.478172,4.215441,-4.915320,0.000000,container1,7.323055,-5.270733,-2.010673,-3.107614,0.355413,2.010673,3.718385,-2.363516,-0.164764,-0.370124
624.100000,drone3,-1,0.935464,535.667603,66.116653,15.113967,-14.548480,0.000000,container5,16.835662,-15.270412,-2.048991,-1.721696,0.721932,2.048991,2.771964,-2.363516,-0.164764,-0.370124
624.164000,drone3,-1,0.941681,164.866943,479.501068,4.214203,-4.916197,0.000000,container1,7.322596,-5.270817,-2.006690,-3.108393,0.354619,2.006690,3.716809,-2.363512,-0.164759,-0.359062
624.164000,drone3,-1,0.935512,535.412903,66.214119,15.113009,-14.543041,0.000000,container5,16.835161,-15.270490,-2.047017,-1.722153,0.727448,2.047017,2.772232,-2.363512,-0.164759,-0.359062
624.196000,drone3,-1,0.940788,164.901520,479.464348,4.214694,-4.917084,0.000000,container1,7.321690,-5.270980,-1.998335,-3.106996,0.353896,1.998335,3.711066,-2.363212,-0.164743,-0.358761
624.196000,drone3,-1,0.934606,535.578003,66.248245,15.112765,-14.548331,0.000000,container5,16.834168,-15.270643,-2.042623,-1.721403,0.722312,2.042623,2.767177,-2.363212,-0.164743,-0.358761
624.264000,drone3,-1,0.940351,164.634064,479.347855,4.216326,-4.909903,0.000000,container1,7.321245,-5.271060,-1.993967,-3.104919,0.361158,1.993967,3.707676,-2.363263,-0.164739,-0.345999
624.264000,drone3,-1,0.934231,535.692749,66.101326,15.117872,-14.553467,0.000000,container5,16.833676,-15.270718,-2.040205,-1.715805,0.717252,2.040205,2.760593,-2.363263,-0.164739,-0.345999
624.296000,drone3,-1,0.940097,164.651794,479.205238,4.218641,-4.909997,0.000000,container1,7.320370,-5.271217,-1.984864,-3.101729,0.361220,1.984864,3.700120,-2.362898,-0.164721,-0.346439
624.296000,drone3,-1,0.934597,536.065857,66.505836,15.107749,-14.564604,0.000000,container5,16.832703,-15.270866,-2.034935,-1.724955,0.706262,2.034935,2.759572,-2.362898,-0.164721,-0.346439
624.396000,drone3,-1,0.940202,164.518982,479.176796,4.215125,-4.905440,0.000000,container1,7.319516,-5.271369,-1.975285,-3.104391,0.365929,1.975285,3.697688,-2.362803,-0.164713,-0.330989
624.396000,drone3,-1,0.934541,536.021118,66.571373,15.106906,-14.566911,0.000000,container5,16.831745,-15.271010,-2.029095,-1.724839,0.704099,2.029095,2.754642,-2.362803,-0.164713,-0.330989
624.428000,drone3,-1,0.940239,164.504623,479.285599,4.211003,-4.904743,0.000000,container1,7.319097,-5.271444,-1.970324,-3.108093,0.366701,1.970324,3.698228,-2.362822,-0.164714,-0.324450
624.428000,drone3,-1,0.934089,536.059021,66.601624,15.106249,-14.568802,0.000000,container5,16.831272,-15.271080,-2.025965,-1.725023,0.702279,2.025965,2.751987,-2.362822,-0.164714,-0.324450
624.496000,drone3,-1,0.940184,164.141647,479.243996,4.208177,-4.893880,0.000000,container1,7.318276,-5.271589,-1.960071,-3.110099,0.377709,1.960071,3.695573,-2.362538,-0.164706,-0.316704
624.496000,drone3,-1,0.932939,536.199036,66.712509,15.103492,-14.574690,0.000000,container5,16.830338,-15.271218,-2.019295,-1.726846,0.696527,2.019295,2.746761,-2.362538,-0.164706,-0.316704
624.528000,drone3,-1,0.940146,164.135818,479.319595,4.204085,-4.892957,0.000000,container1,7.317873,-5.271660,-1.954785,-3.113788,0.378703,1.954785,3.695981,-2.362694,-0.164713,-0.308740
624.528000,drone3,-1,0.932793,536.507935,66.231621,15.116192,-14.583813,0.000000,container5,16.829877,-15.271285,-2.015757,-1.713685,0.687472,2.015757,2.733608,-2.362694,-0.164713,-0.308740
624.592000,drone3,-1,0.939655,163.939636,479.289070,4.200647,-4.885680,0.000000,container1,7.317086,-5.271797,-1.943908,-3.116439,0.386117,1.943908,3.693245,-2.362523,-0.164712,-0.300340
624.592000,drone3,-1,0.933556,536.823120,65.538681,15.134295,-14.593432,0.000000,container5,16.828969,-15.271415,-2.008288,-1.694674,0.677983,2.008288,2.713817,-2.362523,-0.164712,-0.300340
624.624000,drone3,-1,0.939863,163.609070,479.244781,4.199649,-4.875766,0.000000,container1,7.316702,-5.271864,-1.938322,-3.117053,0.396098,1.938322,3.691884,-2.362646,-0.164719,-0.292105
