stamp,track_id,class,ns,est_x,est_y,est_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aq_range_est,aq_range_gt,aq_range_err
624.496000,0,-1,drone3,4.215451,-4.915277,0.000000,container1,7.318276,-5.271589,-1.960071,-3.102825,0.356311,1.960071,3.687324,8.087737,11.101623,-3.013886
624.496000,1,-1,drone3,15.101330,-14.546658,0.000000,container5,16.830338,-15.271218,-2.019295,-1.729007,0.724560,2.019295,2.755359,22.593533,24.479450,-1.885917
624.528000,0,-1,drone3,4.214088,-4.912339,0.000000,container1,7.317873,-5.271660,-1.954785,-3.103786,0.359321,1.954785,3.685618,8.085103,11.100573,-3.015470
624.528000,1,-1,drone3,15.102862,-14.551427,0.000000,container5,16.829877,-15.271285,-2.015757,-1.727015,0.719857,2.015757,2.750282,22.597908,24.479009,-1.881101
624.592000,0,-1,drone3,4.212365,-4.908403,0.000000,container1,7.317086,-5.271797,-1.943908,-3.104721,0.363394,1.943908,3.681050,8.081598,11.098238,-3.016640
624.592000,1,-1,drone3,15.106358,-14.557439,0.000000,container5,16.828969,-15.271415,-2.008288,-1.722612,0.713976,2.008288,2.740506,22.604588,24.477933,-1.873345
624.624000,0,-1,drone3,4.210769,-4.904092,0.000000,container1,7.316702,-5.271864,-1.938322,-3.105933,0.367772,1.938322,3.679561,8.077920,11.097089,-3.019169
624.624000,1,-1,drone3,15.109985,-14.562237,0.000000,container5,16.828523,-15.271479,-2.004361,-1.718537,0.709242,2.004361,2.733836,22.610545,24.477413,-1.866867
624.692000,0,-1,drone3,4.208165,-4.897710,0.000000,container1,7.315950,-5.271994,-1.926873,-3.107786,0.374284,1.926873,3.675767,8.072340,11.094763,-3.022423
624.692000,1,-1,drone3,15.112887,-14.568499,0.000000,container5,16.827643,-15.271603,-1.996130,-1.714756,0.703104,1.996130,2.723835,22.616980,24.476351,-1.859371
624.760000,0,-1,drone3,4.205389,-4.889491,0.000000,container1,7.315584,-5.272057,-1.921016,-3.110195,0.382566,1.921016,3.675591,8.065441,11.093588,-3.028147
624.760000,1,-1,drone3,15.118087,-14.574683,0.000000,container5,16.827211,-15.271663,-1.991831,-1.709124,0.696979,1.991831,2.715561,22.625032,24.475811,-1.850779
624.824000,0,-1,drone3,4.202472,-4.881115,0.000000,container1,7.314869,-5.272179,-1.909050,-3.112397,0.391064,1.909050,3.672114,8.058457,11.091218,-3.032760
624.824000,1,-1,drone3,15.124216,-14.579706,0.000000,container5,16.826362,-15.271779,-1.982878,-1.702145,0.692073,1.982878,2.703344,22.633174,24.474712,-1.841538
624.892000,0,-1,drone3,4.199365,-4.872646,0.000000,container1,7.314180,-5.272296,-1.896772,-3.114815,0.399650,1.896772,3.668724,8.051150,11.088693,-3.037544
624.892000,1,-1,drone3,15.131858,-14.585450,0.000000,container5,16.825533,-15.271890,-1.973468,-1.693676,0.686440,1.973468,2.689668,22.642834,24.473482,-1.830648
624.924000,0,-1,drone3,4.196989,-4.866189,0.000000,container1,7.313845,-5.272352,-1.890524,-3.116857,0.406163,1.890524,3.667948,8.045661,11.087556,-3.041895
624.924000,1,-1,drone3,15.143430,-14.588577,0.000000,container5,16.825127,-15.271944,-1.968597,-1.681698,0.683367,1.968597,2.677774,22.653929,24.472971,-1.819042
624.988000,0,-1,drone3,4.194719,-4.858563,0.000000,container1,7.313194,-5.272461,-1.877826,-3.118476,0.413898,1.877826,3.663664,8.039528,11.085010,-3.045482
624.988000,1,-1,drone3,15.151018,-14.591851,0.000000,container5,16.824332,-15.272048,-1.958539,-1.673314,0.680197,1.958539,2.664306,22.661982,24.471715,-1.809733
625.020000,0,-1,drone3,4.193436,-4.852766,0.000000,container1,7.312879,-5.272513,-1.871384,-3.119443,0.419748,1.871384,3.661856,8.035318,11.083865,-3.048546
625.020000,1,-1,drone3,15.154729,-14.593611,0.000000,container5,16.823943,-15.272098,-1.953357,-1.669214,0.678488,1.953357,2.657485,22.666129,24.471192,-1.805062
625.088000,0,-1,drone3,4.191422,-4.845284,0.000000,container1,7.312268,-5.272614,-1.858329,-3.120845,0.427329,1.858329,3.657277,8.029601,11.081441,-3.051839
625.088000,1,-1,drone3,15.157990,-14.595946,0.000000,container5,16.823181,-15.272194,-1.942701,-1.665191,0.676249,1.942701,2.646556,22.670348,24.470026,-1.799678
625.156000,0,-1,drone3,4.189525,-4.838423,0.000000,container1,7.311972,-5.272662,-1.851724,-3.122447,0.434239,1.851724,3.656107,8.024222,11.080229,-3.056007
625.156000,1,-1,drone3,15.159389,-14.596888,0.000000,container5,16.822809,-15.272240,-1.937232,-1.663420,0.675353,1.937232,2.641199,22.672135,24.469439,-1.797304
625.188000,0,-1,drone3,4.188957,-4.834147,0.000000,container1,7.311400,-5.272755,-1.838374,-3.122444,0.438607,1.838374,3.649884,8.021476,11.077743,-3.056267
625.188000,1,-1,drone3,15.158951,-14.595166,0.000000,container5,16.822083,-15.272329,-1.926029,-1.663132,0.677163,1.926029,2.633276,22.670867,24.468204,-1.797338
625.252000,1,-1,drone3,15.158696,-14.592603,0.000000,container5,16.821381,-15.272412,-1.914490,-1.662685,0.679809,1.914490,2.625249,22.669206,24.466964,-1.797758
625.252000,0,-1,drone3,4.187714,-4.826895,0.000000,container1,7.310856,-5.272842,-1.824864,-3.123142,0.445947,1.824864,3.644587,8.016471,11.075268,-3.058796
625.320000,1,-1,drone3,15.157983,-14.589903,0.000000,container5,16.821039,-15.272451,-1.908603,-1.663056,0.682548,1.908603,2.621906,22.667104,24.466424,-1.799320
625.320000,0,-1,drone3,4.186767,-4.819216,0.000000,container1,7.310594,-5.272883,-1.818058,-3.123827,0.453667,1.818058,3.642725,8.011467,11.074132,-3.062666
625.384000,1,-1,drone3,15.157229,-14.587181,0.000000,container5,16.820374,-15.272527,-1.896609,-1.663145,0.685345,1.896609,2.613977,22.664957,24.465180,-1.800223
