stamp_ns,node_ns,src_drone_ns,fused_id,class_id,class_name,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
258272000000,/,drone1,29,0,"container1",world,10.6262,-4.91925,0,0.0878587,0,0,0,0.0878587,0,0,0,0.202521
258272000000,/,drone2,30,0,"container1",world,10.8502,-4.80609,0,0.0934136,0,0,0,0.0934136,0,0,0,0.215792
258360000000,/,drone2,26,2,"container3",world,10.6397,9.74813,0,0.0904921,0,0,0,0.0904921,0,0,0,0.210623
258360000000,/,drone2,28,1,"container2",world,12.3733,2.90445,0,0.0935551,0,0,0,0.0935551,0,0,0,0.220449
258360000000,/,drone1,29,0,"container1",world,10.6218,-4.92129,0,0.0878808,0,0,0,0.0878808,0,0,0,0.202565
258360000000,/,drone2,30,0,"container1",world,10.8453,-4.80075,0,0.091745,0,0,0,0.091745,0,0,0,0.212541
258428000000,/,drone2,26,2,"container3",world,10.6356,9.74414,0,0.0898749,0,0,0,0.0898749,0,0,0,0.208915
258428000000,/,drone2,28,1,"container2",world,12.3704,2.89913,0,0.0926765,0,0,0,0.0926765,0,0,0,0.218579
258428000000,/,drone1,29,0,"container1",world,10.618,-4.92337,0,0.0880003,0,0,0,0.0880003,0,0,0,0.202783
258428000000,/,drone2,30,0,"container1",world,10.843,-4.79661,0,0.0908163,0,0,0,0.0908163,0,0,0,0.210579
258500000000,/,drone2,26,2,"container3",world,10.6278,9.73592,0,0.0890546,0,0,0,0.0890546,0,0,0,0.206975
258500000000,/,drone2,28,1,"container2",world,12.3679,2.89359,0,0.0918899,0,0,0,0.0918899,0,0,0,0.2169
258500000000,/,drone1,29,0,"container1",world,10.6158,-4.92467,0,0.0879404,0,0,0,0.0879404,0,0,0,0.202681
258500000000,/,drone2,30,0,"container1",world,10.8441,-4.79304,0,0.0898827,0,0,0,0.0898827,0,0,0,0.208608
258588000000,/,drone2,26,2,"container3",world,10.6192,9.7255,0,0.0883342,0,0,0,0.0883342,0,0,0,0.205248
258588000000,/,drone2,28,1,"container2",world,12.3662,2.88866,0,0.0912668,0,0,0,0.0912668,0,0,0,0.215498
258588000000,/,drone1,29,0,"container1",world,10.6141,-4.92617,0,0.0880621,0,0,0,0.0880621,0,0,0,0.202883
258588000000,/,drone2,30,0,"container1",world,10.8458,-4.79049,0,0.0890466,0,0,0,0.0890466,0,0,0,0.206795
258668000000,/,drone2,26,2,"container3",world,10.6059,9.70743,0,0.0881502,0,0,0,0.0881502,0,0,0,0.204408
258668000000,/,drone2,28,1,"container2",world,12.3656,2.88496,0,0.0909902,0,0,0,0.0909902,0,0,0,0.214595
258668000000,/,drone1,29,0,"container1",world,10.6133,-4.92726,0,0.0878919,0,0,0,0.0878919,0,0,0,0.202575
258668000000,/,drone2,30,0,"container1",world,10.846,-4.78929,0,0.0885883,0,0,0,0.0885883,0,0,0,0.205587
258764000000,/,drone2,26,2,"container3",world,10.5888,9.68628,0,0.0881478,0,0,0,0.0881478,0,0,0,0.203984
258764000000,/,drone2,28,1,"container2",world,12.3666,2.88161,0,0.0908764,0,0,0,0.0908764,0,0,0,0.214003
258764000000,/,drone1,29,0,"container1",world,10.6141,-4.92824,0,0.0879011,0,0,0,0.0879011,0,0,0,0.202598
258764000000,/,drone2,30,0,"container1",world,10.8459,-4.78986,0,0.0883632,0,0,0,0.0883632,0,0,0,0.204806
