epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1422.63,0.3016,0.21851,0.8623,0.99731,1,0.995,0.96558,0.29285,0.15282,0.68605,0.000201758,0.000201758,0.000201758
126,1433.72,0.30075,0.21627,0.87378,0.99697,1,0.995,0.96214,0.28754,0.14925,0.683,0.000194425,0.000194425,0.000194425
127,1444.9,0.28977,0.217,0.86305,0.99726,1,0.995,0.96643,0.29354,0.15309,0.68514,0.000187092,0.000187092,0.000187092
128,1456.85,0.29213,0.23421,0.86382,0.99702,1,0.995,0.9645,0.28837,0.14977,0.68955,0.00017976,0.00017976,0.00017976
129,1468.57,0.28923,0.21076,0.85434,0.99684,1,0.995,0.96231,0.28924,0.14973,0.69046,0.000172427,0.000172427,0.000172427
130,1480.5,0.2925,0.22182,0.85234,0.99679,1,0.995,0.96479,0.28941,0.15046,0.68698,0.000165095,0.000165095,0.000165095
131,1492.07,0.29094,0.20714,0.85706,0.99678,1,0.995,0.9632,0.29076,0.14841,0.68694,0.000157762,0.000157762,0.000157762
132,1502.5,0.27725,0.20318,0.85321,0.99665,1,0.995,0.96371,0.28599,0.14433,0.68585,0.000150429,0.000150429,0.000150429
133,1514.47,0.28585,0.20835,0.85604,0.99647,1,0.995,0.95607,0.28566,0.14752,0.68704,0.000143097,0.000143097,0.000143097
134,1526.27,0.28692,0.20675,0.85599,0.99676,1,0.995,0.95861,0.28399,0.14205,0.68812,0.000135764,0.000135764,0.000135764
135,1538.43,0.29171,0.20732,0.86386,0.99709,1,0.995,0.95989,0.28329,0.14209,0.68999,0.000128432,0.000128432,0.000128432
136,1550.4,0.28054,0.206,0.85555,0.99753,1,0.995,0.96507,0.28765,0.15202,0.69416,0.000121099,0.000121099,0.000121099
137,1561.19,0.27315,0.20236,0.8544,0.9978,1,0.995,0.96586,0.28509,0.15573,0.69227,0.000113766,0.000113766,0.000113766
138,1572.72,0.27492,0.19575,0.84994,0.99777,1,0.995,0.96865,0.28165,0.1528,0.69127,0.000106434,0.000106434,0.000106434
139,1584.92,0.27296,0.19705,0.84122,0.99754,1,0.995,0.96735,0.28146,0.14662,0.69077,9.91012e-05,9.91012e-05,9.91012e-05
140,1596.81,0.29115,0.19987,0.86443,0.99731,1,0.995,0.96575,0.283,0.14627,0.69095,9.17686e-05,9.17686e-05,9.17686e-05
141,1609.73,0.25783,0.18383,0.83029,0.99746,1,0.995,0.96336,0.2847,0.1462,0.69065,8.4436e-05,8.4436e-05,8.4436e-05
142,1621.73,0.25843,0.17146,0.83714,0.99721,1,0.995,0.963,0.2863,0.14601,0.69209,7.71034e-05,7.71034e-05,7.71034e-05
143,1631.72,0.24668,0.19003,0.83535,0.99726,1,0.995,0.96194,0.28828,0.14074,0.69223,6.97708e-05,6.97708e-05,6.97708e-05
144,1643.21,0.24905,0.16397,0.83014,0.9972,1,0.995,0.96408,0.28354,0.14108,0.69025,6.24382e-05,6.24382e-05,6.24382e-05
145,1654.74,0.2456,0.16244,0.84185,0.99738,1,0.995,0.96293,0.28386,0.14081,0.68973,5.51056e-05,5.51056e-05,5.51056e-05
146,1666.46,0.24949,0.16394,0.83695,0.99754,1,0.995,0.96206,0.28109,0.13959,0.68951,4.7773e-05,4.7773e-05,4.7773e-05
147,1678.01,0.24397,0.16192,0.83941,0.99751,1,0.995,0.96109,0.28088,0.13605,0.68918,4.04404e-05,4.04404e-05,4.04404e-05
148,1688,0.24202,0.16221,0.8277,0.99749,1,0.995,0.9624,0.2804,0.13779,0.68814,3.31078e-05,3.31078e-05,3.31078e-05
149,1699.51,0.23266,0.15603,0.82125,0.99746,1,0.995,0.96216,0.28163,0.13622,0.68787,2.57752e-05,2.57752e-05,2.57752e-05
150,1711.32,0.25038,0.16067,0.82501,0.99739,1,0.995,0.96404,0.28042,0.13615,0.6878,1.84426e-05,1.84426e-05,1.84426e-05
