stamp,drone,source,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz
0.960000,drone2,raw,0.991126,-0.000468,1.589277,0.000150,-0.002902,-0.000001,0.999996,-0.000003,-0.101354,-0.001368,-0.847802
0.980000,drone3,raw,0.990112,0.599516,1.566740,0.000158,-0.003467,-0.000002,0.999994,-0.000005,-0.088977,-0.001291,-0.867280
0.980000,drone2,raw,0.989588,-0.000487,1.571845,0.000156,-0.003390,-0.000001,0.999994,-0.000003,-0.089177,-0.001291,-0.867514
0.980000,drone1,raw,0.990111,-0.600484,1.566370,0.000067,-0.003520,-0.000002,0.999994,-0.000004,-0.089053,-0.001153,-0.868008
1.000000,drone3,raw,0.988889,0.599499,1.549685,0.000164,-0.003899,-0.000002,0.999992,-0.000005,-0.074919,-0.001177,-0.861599
1.000000,drone2,raw,0.988361,-0.000504,1.554787,0.000162,-0.003779,-0.000001,0.999993,-0.000004,-0.075001,-0.001177,-0.861769
1.000000,drone1,raw,0.988888,-0.600501,1.549303,0.000057,-0.003955,-0.000002,0.999992,-0.000004,-0.075003,-0.001017,-0.862225
1.020000,drone3,raw,0.987975,0.599485,1.533527,0.000168,-0.004234,-0.000002,0.999991,-0.000005,-0.059942,-0.001044,-0.829891
1.020000,drone2,raw,0.987444,-0.000518,1.538628,0.000166,-0.004068,-0.000001,0.999992,-0.000004,-0.059906,-0.001043,-0.829992
1.020000,drone1,raw,0.987973,-0.600515,1.533135,0.000047,-0.004293,-0.000002,0.999991,-0.000004,-0.060028,-0.000865,-0.830409
1.040000,drone3,raw,0.987345,0.599473,1.518771,0.000172,-0.004480,-0.000002,0.999990,-0.000005,-0.045153,-0.000912,-0.772495
1.040000,drone2,raw,0.986812,-0.000530,1.523872,0.000170,-0.004266,-0.000001,0.999991,-0.000004,-0.045011,-0.000911,-0.772531
1.040000,drone1,raw,0.987344,-0.600527,1.518372,0.000034,-0.004542,-0.000002,0.999990,-0.000004,-0.045239,-0.000722,-0.772916
1.060000,drone3,raw,0.986960,0.599462,1.505886,0.000176,-0.004650,-0.000002,0.999989,-0.000006,-0.031558,-0.000802,-0.690753
1.060000,drone1,raw,0.986959,-0.600537,1.505481,0.000021,-0.004715,-0.000002,0.999989,-0.000004,-0.031641,-0.000610,-0.691102
1.060000,drone2,raw,0.986426,-0.000541,1.510989,0.000173,-0.004385,-0.000001,0.999990,-0.000004,-0.031335,-0.000800,-0.690736
1.080000,drone3,raw,0.986766,0.599452,1.495283,0.000179,-0.004761,-0.000002,0.999989,-0.000006,-0.019935,-0.000728,-0.587027
1.080000,drone2,raw,0.986232,-0.000551,1.500387,0.000176,-0.004442,-0.000001,0.999990,-0.000004,-0.019662,-0.000727,-0.586973
1.080000,drone1,raw,0.986765,-0.600548,1.494872,0.000007,-0.004829,-0.000002,0.999988,-0.000005,-0.020011,-0.000546,-0.587337
