15.6157,15.6157,15.6157,12.0229,12.0229,12.0229
15.4771,15.4771,15.4771,11.9072,11.9072,11.9072
15.1579,15.1579,15.1579,11.8568,11.8568,11.8568
90.828000000,3x6
15.6022,15.6022,15.6022,11.9227,11.9227,11.9227
15.4581,15.4581,15.4581,11.8065,11.8065,11.8065
15.1863,15.1863,15.1863,11.8035,11.8035,11.8035
91.208000000,3x6
15.571,15.571,15.571,11.6578,11.6578,11.6578
15.4225,15.4225,15.4225,11.5334,11.5334,11.5334
15.2102,15.2102,15.2102,11.5927,11.5927,11.5927
91.592000000,3x6
15.5692,15.5692,15.5692,11.6446,11.6446,11.6446
15.4146,15.4146,15.4146,11.5008,11.5008,11.5008
15.2381,15.2381,15.2381,11.605,11.605,11.605
91.984000000,3x6
15.5967,15.5967,15.5967,11.6016,11.6016,11.6016
15.4391,15.4391,15.4391,11.4489,11.4489,11.4489
15.2799,15.2799,15.2799,11.5816,11.5816,11.5816
92.392000000,3x6
15.6528,15.6528,15.6528,11.7917,11.7917,11.7917
15.5027,15.5027,15.5027,11.6412,11.6412,11.6412
15.3209,15.3209,15.3209,11.761,11.761,11.761
92.748000000,3x6
15.6863,15.6863,15.6863,11.6727,11.6727,11.6727
15.5421,15.5421,15.5421,11.5172,11.5172,11.5172
15.3532,15.3532,15.3532,11.6435,11.6435,11.6435
93.112000000,3x6
15.7068,15.7068,15.7068,11.6749,11.6749,11.6749
15.5552,15.5552,15.5552,11.5103,11.5103,11.5103
15.3757,15.3757,15.3757,11.6564,11.6564,11.6564
93.500000000,3x6
15.6889,15.6889,15.6889,11.8749,11.8749,11.8749
15.5339,15.5339,15.5339,11.7039,11.7039,11.7039
15.4083,15.4083,15.4083,11.9149,11.9149,11.9149
93.880000000,3x6
15.716,15.716,15.716,11.8769,11.8769,11.8769
15.5579,15.5579,15.5579,11.7106,11.7106,11.7106
15.4439,15.4439,15.4439,11.9288,11.9288,11.9288
94.200000000,3x6
15.7389,15.7389,15.7389,11.6313,11.6313,11.6313
15.5835,15.5835,15.5835,11.4677,11.4677,11.4677
15.4819,15.4819,15.4819,11.6909,11.6909,11.6909
94.548000000,3x6
15.7649,15.7649,15.7649,11.8547,11.8547,11.8547
15.6093,15.6093,15.6093,11.6969,11.6969,11.6969
15.5202,15.5202,15.5202,11.9284,11.9284,11.9284
94.904000000,3x6
15.7949,15.7949,15.7949,11.8552,11.8552,11.8552
15.6412,15.6412,15.6412,11.694,11.694,11.694
15.5504,15.5504,15.5504,11.9214,11.9214,11.9214
95.272000000,3x6
15.8156,15.8156,15.8156,11.8378,11.8378,11.8378
15.6587,15.6587,15.6587,11.6669,11.6669,11.6669
15.5759,15.5759,15.5759,11.8984,11.8984,11.8984
95.704000000,3x3
11.8037,11.8037,11.8037
11.6226,11.6226,11.6226
11.8482,11.8482,11.8482
96.132000000,3x3
11.7599,11.7599,11.7599
11.5824,11.5824,11.5824
11.7992,11.7992,11.7992
96.488000000,3x3
11.8513,11.8513,11.8513
11.6692,11.6692,11.6692
11.9075,11.9075,11.9075
96.864000000,3x3
11.8328,11.8328,11.8328
11.6436,11.6436,11.6436
11.9031,11.9031,11.9031
97.220000000,3x3
11.8747,11.8747,11.8747
11.6856,11.6856,11.6856
11.9353,11.9353,11.9353
97.584000000,3x3
11.855,11.855,11.855
11.6506,11.6506,11.6506
11.9431,11.9431,11.9431
97.948000000,3x3
11.7687,11.7687,11.7687
11.5544,11.5544,11.5544
11.8772,11.8772,11.8772
98.300000000,3x3
11.9111,11.9111,11.9111
11.7124,11.7124,11.7124
12.0063,12.0063,12.0063
98.652000000,3x3
11.8437,11.8437,11.8437
11.6425,11.6425,11.6425
11.9276,11.9276,11.9276
99.24000000,3x3
11.8225,11.8225,11.8225
11.6211,11.6211,11.6211
11.9366,11.9366,11.9366
99.436000000,3x3
11.9238,11.9238,11.9238
11.7232,11.7232,11.7232
12.0612,12.0612,12.0612
99.808000000,3x3
11.8236,11.8236,11.8236
11.6421,11.6421,11.6421
11.9521,11.9521,11.9521
100.200000000,3x3
11.8996,11.8996,11.8996
11.7097,11.7097,11.7097
12.0277,12.0277,12.0277
100.600000000,3x3
11.911,11.911,11.911
11.7158,11.7158,11.7158
12.0151,12.0151,12.0151
100.900000000,3x3
11.98,11.98,11.98
11.7793,11.7793,11.7793
12.0782,12.0782,12.0782
101.228000000,3x3
11.9807,11.9807,11.9807
11.7792,11.7792,11.7792
12.0805,12.0805,12.0805
101.608000000,3x3
12.3547,12.3547,12.3547
12.161,12.161,12.161
12.4635,12.4635,12.4635
101.972000000,3x3
12.3308,12.3308,12.3308
12.1369,12.1369,12.1369
12.4641,12.4641,12.4641
102.348000000,3x3
12.3367,12.3367,12.3367
12.1195,12.1195,12.1195
12.4712,12.4712,12.4712
102.780000000,3x3
12.3074,12.3074,12.3074
12.0835,12.0835,12.0835
12.4612,12.4612,12.4612
103.236000000,3x3
12.3132,12.3132,12.3132
12.0867,12.0867,12.0867
12.4975,12.4975,12.4975
103.700000000,3x3
12.3382,12.3382,12.3382
12.1161,12.1161,12.1161
