stamp_ns,node_ns,src_drone_ns,fused_id,class_id,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
17400000000,/,drone1,0,-1,world,-0.890706,0.170701,0.000000,1.895441e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895441e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974442e+00
17492000000,/,drone1,0,-1,world,-0.890721,0.170696,0.000000,1.895322e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895322e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974409e+00
17580000000,/,drone1,0,-1,world,-0.890728,0.170694,0.000000,1.895269e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895269e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974394e+00
17656000000,/,drone1,0,-1,world,-0.890731,0.170693,0.000000,1.895246e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895246e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974388e+00
17740000000,/,drone1,0,-1,world,-0.890732,0.170692,0.000000,1.895236e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895236e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974385e+00
17812000000,/,drone1,0,-1,world,-0.890733,0.170692,0.000000,1.895231e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895231e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974384e+00
17900000000,/,drone1,0,-1,world,-0.890733,0.170692,0.000000,1.895229e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895229e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974383e+00
17988000000,/,drone1,0,-1,world,-0.890733,0.170692,0.000000,1.895228e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895228e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974383e+00
18072000000,/,drone1,0,-1,world,-0.889511,0.171217,0.000000,1.906470e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.906470e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.977491e+00
18148000000,/,drone1,0,-1,world,-0.890176,0.170923,0.000000,1.900215e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.900215e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975766e+00
18216000000,/,drone1,0,-1,world,-0.889260,0.171316,0.000000,1.908640e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.908640e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.978089e+00
18300000000,/,drone1,0,-1,world,-0.888845,0.171487,0.000000,1.912326e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.912326e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.979102e+00
18400000000,/,drone1,0,-1,world,-0.889871,0.171043,0.000000,1.902832e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.902832e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.976490e+00
18484000000,/,drone1,0,-1,world,-0.890341,0.170846,0.000000,1.898596e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.898596e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975318e+00
18572000000,/,drone1,0,-1,world,-0.890555,0.170760,0.000000,1.896717e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.896717e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974797e+00
