stamp,drone,source,x,y,z,,,,,,,,,,,,,,,,
1.04,drone2,raw,0.986812,-0.00053,1.523872,,,,,,,,,,,,,,,,
1.04,drone1,raw,0.987344,-0.600527,1.518372,,,,,,,,,,,,,,,,
1.06,drone3,raw,0.98696,0.599462,1.505886,,,,,,,,,,,,,,,,
1.06,drone1,raw,0.986959,-0.600537,1.505481,,,,,,,,,,,,,,,,
1.06,drone2,raw,0.986426,-0.000541,1.510989,,,,,,,,,,,,,,,,
1.08,drone3,raw,0.986766,0.599452,1.495283,,,,,,,,,,,,,,,,
1.08,drone1,raw,0.986765,-0.600548,1.494872,,,,,,,,,,,,,,,,
1.08,drone2,raw,0.986232,-0.000551,1.500387,,,,,,,,,,,,,,,,
1.1,drone2,raw,0.986173,-0.000562,1.492403,,,,,,,,,,,,,,,,
1.1,drone3,raw,0.986707,0.599441,1.487298,,,,,,,,,,,,,,,,
1.1,drone1,raw,0.986706,-0.600559,1.48688,,,,,,,,,,,,,,,,
1.12,drone3,raw,0.98673,0.599429,1.482174,,,,,,,,,,,,,,,,
1.12,drone1,raw,0.986729,-0.600571,1.481749,,,,,,,,,,,,,,,,
1.12,drone2,raw,0.986196,-0.000575,1.487281,,,,,,,,,,,,,,,,
1.14,drone1,raw,0.986792,-0.600586,1.479622,,,,,,,,,,,,,,,,
1.14,drone2,raw,0.986259,-0.00059,1.485164,,,,,,,,,,,,,,,,
1.14,drone3,raw,0.986793,0.599414,1.480057,,,,,,,,,,,,,,,,
1.16,drone1,raw,0.986864,-0.600603,1.480537,,,,,,,,,,,,,,,,
1.16,drone2,raw,0.986332,-0.000607,1.48609,,,,,,,,,,,,,,,,
1.16,drone3,raw,0.986865,0.599397,1.480983,,,,,,,,,,,,,,,,
1.18,drone3,raw,0.986936,0.599377,1.484882,,,,,,,,,,,,,,,,
1.18,drone2,raw,0.986403,-0.000626,1.489988,,,,,,,,,,,,,,,,
1.18,drone1,raw,0.986935,-0.600623,1.484424,,,,,,,,,,,,,,,,
1.2,drone3,raw,0.98701,0.599357,1.491581,,,,,,,,,,,,,,,,
1.2,drone2,raw,0.986477,-0.000647,1.496687,,,,,,,,,,,,,,,,
1.2,drone1,raw,0.987008,-0.600643,1.49111,,,,,,,,,,,,,,,,
1.22,drone3,raw,0.987104,0.599335,1.500814,,,,,,,,,,,,,,,,
1.22,drone1,raw,0.987103,-0.600665,1.500328,,,,,,,,,,,,,,,,
1.22,drone2,raw,0.986572,-0.000669,1.505918,,,,,,,,,,,,,,,,
1.24,drone2,raw,0.986715,-0.00069,1.517336,,,,,,,,,,,,,,,,
1.24,drone3,raw,0.987248,0.599314,1.512233,,,,,,,,,,,,,,,,
1.24,drone1,raw,0.987246,-0.600686,1.511732,,,,,,,,,,,,,,,,
1.26,drone3,raw,0.987472,0.599293,1.525427,,,,,,,,,,,,,,,,
1.26,drone1,raw,0.98747,-0.600706,1.524911,,,,,,,,,,,,,,,,
1.26,drone2,raw,0.98694,-0.000711,1.530529,,,,,,,,,,,,,,,,
1.28,drone2,raw,0.987276,-0.000729,1.545041,,,,,,,,,,,,,,,,
1.28,drone1,raw,0.987805,-0.600724,1.53941,,,,,,,,,,,,,,,,
1.28,drone3,raw,0.987806,0.599275,1.539939,,,,,,,,,,,,,,,,
1.3,drone1,raw,0.988274,-0.600741,1.554746,,,,,,,,,,,,,,,,
1.3,drone3,raw,0.988275,0.599259,1.555288,,,,,,,,,,,,,,,,
1.3,drone2,raw,0.987746,-0.000746,1.560392,,,,,,,,,,,,,,,,
1.32,drone1,raw,0.988888,-0.600755,1.570434,,,,,,,,,,,,,,,,
1.32,drone2,raw,0.988363,-0.00076,1.576092,,,,,,,,,,,,,,,,
1.32,drone3,raw,0.98889,0.599244,1.570986,,,,,,,,,,,,,,,,
1.34,drone1,raw,0.989646,-0.600767,1.585997,,,,,,,,,,,,,,,,
1.34,drone3,raw,0.989648,0.599232,1.58656,,,,,,,,,,,,,,,,
1.34,drone2,raw,0.989124,-0.000773,1.591669,,,,,,,,,,,,,,,,
1.36,drone2,raw,0.990012,-0.000783,1.606674,,,,,,,,,,,,,,,,
1.36,drone3,raw,0.990533,0.599221,1.601562,,,,,,,,,,,,,,,,
1.36,drone1,raw,0.990531,-0.600778,1.60099,,,,,,,,,,,,,,,,
1.38,drone1,raw,0.991514,-0.600788,1.615004,,,,,,,,,,,,,,,,
1.38,drone2,raw,0.990998,-0.000794,1.620703,,,,,,,,,,,,,,,,
1.38,drone3,raw,0.991516,0.599211,1.615586,,,,,,,,,,,,,,,,
1.4,drone1,raw,0.992553,-0.600798,1.627685,,,,,,,,,,,,,,,,
1.4,drone3,raw,0.992556,0.599201,1.628276,,,,,,,,,,,,,,,,
1.4,drone2,raw,0.992041,-0.000804,1.633397,,,,,,,,,,,,,,,,
1.42,drone3,raw,0.993606,0.599191,1.639332,,,,,,,,,,,,,,,,
1.42,drone2,raw,0.993095,-0.000814,1.644457,,,,,,,,,,,,,,,,
